"id","title","value","link","group"
"376","Alterung und COVID-19-Anfälligkeit, Schwere der Erkrankung und klinische Ergebnisse: Die Rolle verschränkter Risikofaktoren","1","https://www.sciencedirect.com/science/article/pii/S0531556521002898","Therapeutics"
"377","Experimental Gerontology","1","","Experimental Gerontology"
"378","Zusammenhang zwischen einer Vitamin-D-Supplementierung oder dem Vitamin-D-Serumspiegel und der Anfälligkeit für eine SARS-CoV-2-Infektion oder COVID-19 einschließlich des klinischen Verlaufs, der Morbidität und der Mortalität? Eine systematische Überprüfung","1","https://bmjopen.bmj.com/content/11/5/e043737","Therapeutics"
"379","Überlegungen zur Verstärkung der Immunantwort auf den COVID-19-Impfstoff","1","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)02046-8/fulltext","Vaccines"
"380","Zusammenhang zwischen Serum-Kupferstatus und Überleben bei COVID-19","1","https://www.mdpi.com/2072-6643/13/6/1898/htm","Therapeutics"
"381","Bewertung des Risikos einer SARS-CoV-2-Infektion aus nächster Nähe","1","https://www.sciencedirect.com/science/article/pii/S0048969721038213?via%3Dihub","Virus"
"382","Symptomatische SARS-CoV-2-Infektionen nach vollständiger BNT162b2-Impfung bei seropositiven Beschäftigten im Gesundheitswesen: eine Fallserie aus einer einzigen Einrichtung","1","https://www.tandfonline.com/doi/full/10.1080/22221751.2021.1942230","Vaccines"
"383","SARS-CoV-2-Impfschutz und Todesfälle unter US-Veteranen im Jahr 2021","1","https://www.science.org/doi/10.1126/science.abm0620","Vaccines"
"384","Therapeutische und prognostische Rolle von Vitamin D bei COVID-19-Infektionen: Eine systematische Überprüfung und Meta-Analyse von 43 Beobachtungsstudien","1","https://www.sciencedirect.com/science/article/pii/S0960076021000765","Therapeutics"
"385","Schwerwiegende Komplikationen bei COVID-19-Impfstoffen: Eine Mini-Review","1","https://www.sciencedirect.com/science/article/pii/S2589936821000694","Vaccines"
"386","Serumspiegel von Vitamin C und Vitamin D in einer Kohorte schwerkranker COVID-19-Patienten einer Intensivstation eines nordamerikanischen Gemeinschaftskrankenhauses im Mai 2020: Eine Pilotstudie","1","https://www.sciencedirect.com/science/article/pii/S2590098620300518","Therapeutics"
"387","Medicine in Drug Discovery","1","","Medicine in Drug Discovery"
"388","SARS-CoV-2-Positivitätsraten in Verbindung mit zirkulierenden 25-Hydroxyvitamin-D-Spiegeln","1","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0239252","Therapeutics"
"389","Eine systematische Überprüfung und Meta-Analyse der Auswirkungen des Vitamin-D-Spiegels auf das Auftreten von COVID-19","1","https://journals.viamedica.pl/cardiology_journal/article/view/83912","Therapeutics"
"390","Shedding light on vitamin D: the shared mechanistic and pathophysiological role between hypovitaminosis D and COVID-19 risk factors and complications","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8239482/","Therapeutics"
"391","Zusammenhang zwischen dem Vitamin-D-Status und der SARS-CoV-2-Infektion oder dem Schweregrad von COVID-19: Eine systematische Überprüfung und Meta-Analyse","1","https://academic.oup.com/advances/article/12/5/1636/6159489","Therapeutics"
"392","Advances in Nutrition","1","","Advances in Nutrition"
"393","Zink, Vitamin D und Vitamin C: Perspektiven für COVID-19 mit Schwerpunkt auf der Integrität der physischen Gewebeschranke","1","https://www.frontiersin.org/articles/10.3389/fnut.2020.606398/full","Therapeutics"
"394","Vitamin C als Prophylaxe und begleitende medizinische Behandlung für COVID-19?","1","https://www.sciencedirect.com/science/article/pii/S0899900720302318","Therapeutics"
"395","Zink und virale Infektionen der Atemwege: Wichtiges Spurenelement für die antivirale Reaktion und die Immunregulation","1","https://link.springer.com/article/10.1007%2Fs12011-021-02859-z","Therapeutics"
"396","Der Zusammenhang zwischen dem Schweregrad und der Sterblichkeit einer SARS-CoV-2-Infektion und der 25-Hydroxyvitamin-D-Konzentration - eine Metaanalyse","1","https://journals.viamedica.pl/advances_in_respiratory_medicine/article/view/ARM.a2021.0037/55715","Therapeutics"
"397","Advances in Respiratory Medicine","1","","Advances in Respiratory Medicine"
"398","Mögliche Vorteile einer Zinkergänzung bei CVD und COVID-19-Komorbidität","1","https://www.sciencedirect.com/science/article/pii/S1876034121003130","Therapeutics"
"399","Journal of Infection and Public Health","1","","Journal of Infection and Public Health"
"400","Ein ausreichender Vitamin-D- und Albuminspiegel hat eine schützende Wirkung auf die COVID-19-Infektion","1","https://link.springer.com/article/10.1007/s00203-021-02482-5","Therapeutics"
"401","Archives of Microbiology","1","","Archives of Microbiology"
"402","Die Rolle von Vitamin D im Zeitalter von COVID-19: Eine systematische Überprüfung und Meta-Analyse","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8420549/","Therapeutics"
"403","Interaktionen zwischen Darmmikrobiom, Vitamin D und ACE2 sind kritische Faktoren bei der Immunseneszenz und Entzündung: Schlüssel für die Impfstoffreaktion und den Schweregrad der COVID-19-Infektion","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8568567/","Therapeutics"
"404","Tödliche impfstoffinduzierte immunthrombotische Thrombozytopenie (VITT) nach Ad26.COV2.S: erster dokumentierter Fall außerhalb der USA","1","https://link.springer.com/article/10.1007%2Fs15010-021-01712-8","Vaccines"
"405","Infection","1","","Infection"
"406","Mögliche molekulare Mechanismen der Zink- und Kupfer-vermittelten antiviralen Aktivität auf COVID-19","1","https://www.sciencedirect.com/science/article/pii/S0271531721000300","Therapeutics"
"407","Nutrition Research","1","","Nutrition Research"
